IKN,İhale Kayıt No,İhale Adı,İhale Türü - Usulü,Kısmi Teklif,İhale Branş Kodları (OKAS),İhale Onay Tarihi,İlanın Şekli,İşin Yapılacağı Yer,İhale Yeri - Tarihi - Saati,İhale Durumu,Bağlı Olduğu En Üst İdare,Bağlı Olduğu İdare,İhaleyi Yapan İdare Adı,İdarenin İli,İdare Adı,İlk,Yaklaşık Maliyet,Yabancı Para Birimi Cinsinden Yaklaşık Maliyet,Sözleşme Tarihi,En Yüksek Teklif,En Düşük Teklif,Devir Bilgisi,Fesih Tarihi,Fesih Nedeni,İlk_parsed,Yaklaşık Maliyet_parsed,En Düşük Teklif_parsed,En Yüksek Teklif_parsed,pct_lowest_vs_estimate,pct_bid_spread,IhaleYeri_location,IhaleYeri_datetime
2023/1602876,2023/1602876e-ihale,"5 İlçede (Antakya, Samandağ, Hassa, Kırıkhan ve Defne) 10 (On) Okulun Onarım İşi",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,29.12.2023,Sonuç İlanı,"Antakya, Samandağ, Hassa, Kırıkhan ve Defne İlçeleri",HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ - 04.01.2024 14:30,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"11.145.000,00 TRY","11.586.114,90 TRY",,26.01.2024,"11.350.000,00 TRY","11.145.000,00 TRY",Yok,,,11145000,11586114.9,11145000,11350000,-3.8072719268475432,1.8393898609241812,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,04.01.2024 14:30
2023/1602639,2023/1602639e-ihale,Hatay İl Milli Eğitim Müdürlüğü Hizmet Binası ve Müdürlük Lojmanı Güçlendirme ve Bakım-Onarım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,29.12.2023,Sonuç İlanı,Antakya İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ - 04.01.2024 11:30,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"31.947.424,86 TRY","32.215.473,70 TRY",,17.01.2024,"32.397.887,42 TRY","31.947.424,86 TRY",Yok,,,31947424.86,32215473.7,31947424.86,32397887.42,-0.8320499723088034,1.4100121120059577,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,04.01.2024 11:30
2023/1588175,2023/1588175e-ihale,Belen Sahil Güvenlik Lojmanları Dış Duvar Yapılması İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,28.12.2023,Sonuç İlanı,Belen-HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 29.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"5.512.602,50 TRY","6.627.923,19 TRY",,18.01.2024,"5.999.670,00 TRY","5.512.602,50 TRY",Yok,,,5512602.5,6627923.19,5512602.5,5999670,-16.827604334382766,8.835527321260694,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,29.12.2023 16:30
2023/1586105,2023/1586105e-ihale,Hatay İl Sınırları İçerisinde Yayladağı İlçesi Pulluyazı Mevkii Hudut Hattında 1 adet 25 Metre Asansörlü İnsansız Kamera ve Gözetleme Kulesi Yapılması İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,28.12.2023,Sonuç İlanı,Yayladağı/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 29.12.2023 15:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"830.000,00 TRY","835.272,39 TRY",,22.01.2024,"830.000,00 TRY","830.000,00 TRY",Yok,,,830000,835272.39,830000,830000,-0.6312180389441597,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,29.12.2023 15:30
2023/1586413,2023/1586413e-ihale,Samandağ Tekebaşı Maruf Cilli 24 Derslik Anadolu Lisesi Çatı Onarım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,28.12.2023,Sonuç İlanı,Samandağ/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 29.12.2023 15:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"3.425.000,00 TRY","3.709.875,56 TRY",,12.01.2024,"3.425.000,00 TRY","3.425.000,00 TRY",Yok,,,3425000,3709875.56,3425000,3425000,-7.678844085002141,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,29.12.2023 15:30
2023/1571398,2023/1571398e-ihale,Defne İlçesi Çekmece Mahallesi 24 Derslikli Ortaokul İkmal Yapım,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,26.12.2023,Sonuç İlanı,Defne İlçesi,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ - 29.12.2023 11:00,Sonuç İlanı Yayımlanmış,MİLLİ EĞİTİM BAKANLIĞI,BAKAN YARDIMCILIKLARI,Hatay İl Milli Eğitim Müdürlüğü- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"54.700.000,00 TRY","47.362.011,50 TRY",,15.01.2024,"54.900.000,00 TRY","54.700.000,00 TRY",Yok,,,54700000,47362011.5,54700000,54900000,15.493405511292528,0.3656307129798903,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,29.12.2023 11:00
2023/1576880,2023/1576880e-ihale,Antakya İlçesi 6 Bölge 1 -2 Etap 2990 Adet Konut Bölgesi (141 Ada 3 Parsel) 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,26.12.2023,Sonuç İlanı,Antakya/HATAY,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 28.12.2023 17:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"84.280.000,00 TRY","84.706.483,11 TRY",,18.01.2024,"84.280.000,00 TRY","84.280.000,00 TRY",Yok,,,84280000,84706483.11,84280000,84280000,-0.5034834340202362,0,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 17:00
2023/1561936,2023/1561936e-ihale,Payas İlçesi Çağlalık Mahallesi 1351 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,26.12.2023,Sonuç İlanı,Payas/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 28.12.2023 17:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.950.000,00 TRY","80.224.300,68 TRY",,18.01.2024,"79.950.000,00 TRY","79.950.000,00 TRY",Yok,,,79950000,80224300.68,79950000,79950000,-0.34191719675331567,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 17:00
2023/1564087,2023/1564087e-ihale,"İskenderun İlçesi Cebike Mahallesi, Düğünyurdu, Aşkarbeyli 2-3 Etap 3986 Adet Konut Bölgesi 32 Derslikli  Lise Yapım işi",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,26.12.2023,Sonuç İlanı,İskenderun/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 28.12.2023 17:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"112.100.000,00 TRY","112.214.059,12 TRY",,19.01.2024,"112.100.000,00 TRY","112.100.000,00 TRY",Yok,,,112100000,112214059.12,112100000,112100000,-0.10164423325782349,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 17:00
2023/1557098,2023/1557098e-ihale,İskenderun OİM Arsuz İdari Bina ve Lojman Binası yapımı işi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,25.12.2023,Sonuç İlanı,Hatay İli Arsuz İlçesi sınırlarında,İskenderun Orman İşletme Müdürlüğü Müdür Yardımcısı odasında - 28.12.2023 16:30,Sonuç İlanı Yayımlanmış,DİĞER ÖZEL BÜTÇELİ KURULUŞLAR,ORMAN GENEL MÜDÜRLÜĞÜ,İskenderun Orman İşletme Müdürlüğü DİĞER ÖZEL BÜTÇELİ KURULUŞLAR ORMAN GENEL MÜDÜRLÜĞÜ,HATAY,,"155.400.000,00 TRY","145.000.000,00 TRY",,11.01.2024,"161.490.000,00 TRY","155.400.000,00 TRY",Yok,,,155400000,145000000,155400000,161490000,7.1724137931034475,3.9189189189189193,İskenderun Orman İşletme Müdürlüğü Müdür Yardımcısı odasında,28.12.2023 16:30
