ikn,name,approval_date,location,datetime,ilk,estimate,lowest_bid,highest_bid,pct_lowest_vs_estimate,pct_bid_spread
2023/1602876,"5 İlçede (Antakya, Samandağ, Hassa, Kırıkhan ve Defne) 10 (On) Okulun Onarım İşi",29.12.2023,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,04.01.2024 14:30,11145000,,,,-3.8072719268475432,1.8393898609241812
2023/1602639,Hatay İl Milli Eğitim Müdürlüğü Hizmet Binası ve Müdürlük Lojmanı Güçlendirme ve Bakım-Onarım İşi,29.12.2023,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,04.01.2024 11:30,31947424.86,,,,-0.8320499723088034,1.4100121120059577
2023/1588175,Belen Sahil Güvenlik Lojmanları Dış Duvar Yapılması İşi,28.12.2023,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,29.12.2023 16:30,5512602.5,,,,-16.827604334382766,8.835527321260694
2023/1586105,Hatay İl Sınırları İçerisinde Yayladağı İlçesi Pulluyazı Mevkii Hudut Hattında 1 adet 25 Metre Asansörlü İnsansız Kamera ve Gözetleme Kulesi Yapılması İşi,28.12.2023,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,29.12.2023 15:30,830000,,,,-0.6312180389441597,0
2023/1586413,Samandağ Tekebaşı Maruf Cilli 24 Derslik Anadolu Lisesi Çatı Onarım İşi,28.12.2023,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,29.12.2023 15:30,3425000,,,,-7.678844085002141,0
2023/1571398,Defne İlçesi Çekmece Mahallesi 24 Derslikli Ortaokul İkmal Yapım,26.12.2023,HATAY İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ İŞAAT EMLAK( İHALE BİRİMİ) HİZMETLERİ ŞUBESİ,29.12.2023 11:00,54700000,,,,15.493405511292528,0.3656307129798903
2023/1576880,Antakya İlçesi 6 Bölge 1 -2 Etap 2990 Adet Konut Bölgesi (141 Ada 3 Parsel) 24 Derslikli İlkokul Yapım İşi,26.12.2023,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 17:00,84280000,,,,-0.5034834340202362,0
2023/1561936,Payas İlçesi Çağlalık Mahallesi 1351 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,26.12.2023,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 17:00,79950000,,,,-0.34191719675331567,0
2023/1564087,"İskenderun İlçesi Cebike Mahallesi, Düğünyurdu, Aşkarbeyli 2-3 Etap 3986 Adet Konut Bölgesi 32 Derslikli  Lise Yapım işi",26.12.2023,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,28.12.2023 17:00,112100000,,,,-0.10164423325782349,0
2023/1557098,İskenderun OİM Arsuz İdari Bina ve Lojman Binası yapımı işi,25.12.2023,İskenderun Orman İşletme Müdürlüğü Müdür Yardımcısı odasında,28.12.2023 16:30,155400000,,,,7.1724137931034475,3.9189189189189193
