"ikn","procedure","status","location","datetime","estimate","lowest_bid","highest_bid"
"2023/1602876","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",11586114.9,11145000,11350000
"2023/1602639","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",32215473.7,31947424.86,32397887.42
"2023/1588175","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",6627923.19,5512602.5,5999670
"2023/1586105","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",835272.39,830000,830000
"2023/1586413","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",3709875.56,3425000,3425000
"2023/1571398","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",47362011.5,54700000,54900000
"2023/1576880","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",84706483.11,84280000,84280000
"2023/1561936","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",80224300.68,79950000,79950000
"2023/1564087","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",112214059.12,112100000,112100000
"2023/1557098","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",145000000,155400000,161490000
"2023/1560755","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",84706483.11,83900000,83900000
"2023/1559374","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",81395924.77,81100000,81100000
"2023/1560741","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",81395924.77,81000000,86700000
"2023/1544672","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",1133971.66,1125631.02,1245094.32
"2023/1544062","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",2177735.73,2583838.25,2993492.25
"2023/1543206","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",6285302.22,7484972.35,7974394.4
"2023/1542204","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",8636113.53,8492574.33,9046854.42
"2023/1525727","Yapım - Pazarlık - Pazarlık (MD 21 B)","Sonuç İlanı Yayımlanmış","","",80224300.68,79850000,79850000
